Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
lv1_code,product_class_name,name,status,brand,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,variation_children_code
1042TRS03-red,Colour,1042TRS03-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494172/Summer2018/1042TRS03_red_3.jpg,1042TRS03_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517494174/Summer2018/1042TRS03_red_4.jpg,1042TRS03_red_4,,https://res.cloudinary.com/maaji/image/upload/v1517494171/Summer2018/1042TRS03_red_5.jpg,1042TRS03_red_5,,https://res.cloudinary.com/maaji/image/upload/v1517494173/Summer2018/1042TRS03_red_6.jpg,1042TRS03_red_6,,,,,red,1042TRS03-red-xs|1042TRS03-red-sm|1042TRS03-red-md|1042TRS03-red-lg|1042TRS03-red-xl
1042TRS02-black,Colour,1042TRS02-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494176/Summer2018/1042TRS02_black_3.jpg,1042TRS02_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517494175/Summer2018/1042TRS02_black_4.jpg,1042TRS02_black_4,,https://res.cloudinary.com/maaji/image/upload/v1517494176/Summer2018/1042TRS02_black_5.jpg,1042TRS02_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517494178/Summer2018/1042TRS02_black_6.jpg,1042TRS02_black_6,,,,,black,1042TRS02-black-xs|1042TRS02-black-sm|1042TRS02-black-md|1042TRS02-black-lg|1042TRS02-black-xl
1041TBS03-black,Colour,1041TBS03-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494173/Summer2018/1041TBS03_black_3.jpg,1041TBS03_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517494171/Summer2018/1041TBS03_black_4.jpg,10541TBS03_black_4,,,,,,,,,,,black,1041TBS03-black-xs|1041TBS03-black-sm|1041TBS03-black-md|1041TBS03-black-lg|1041TBS03-black-xl
1041TBS02-black,Colour,1041TBS02-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494168/Summer2018/1041TBS02_black_3.jpg,1041TBS02_black_3,,http://res.cloudinary.com/maaji/image/upload/v1517494168/Summer2018/1041TBS02_black_4.jpg,1041TbS02_black_4,,,,,,,,,,,black,1041TBS02-black-xs|1041TBS02-black-sm|1041TBS02-black-md|1041TBS02-black-lg|1041TBS02-black-xl
1038TSL03-red,Colour,1038TSL03-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL03_red_3.jpg,1038TSL03_red,,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL03_red_4.jpg,1038TSL03_red_4,,,,,,,,,,,red,1038TSL03-red-xs|1038TSL03-red-sm|1038TSL03-red-md|1038TSL03-red-lg|1038TSL03-red-xl
1038TSL02-blue,Colour,1038TSL02-blue,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL02_blue_3.jpg,1038TSL_blue_3,,https://res.cloudinary.com/maaji/image/upload/v1517494167/Summer2018/1038TSL02_blue_4.jpg,1038TSL02_blue_4,,,,,,,,,,,blue,1038TSL02-blue-xs|1038TSL02-blue-sm|1038TSL02-blue-md|1038TSL02-blue-lg|1038TSL02-blue-xl
1372CSH02-black,Colour,1372CSH02-black,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517589359/Summer2018/1372CSH02_black_1.jpg,1372CSh02_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517589358/Summer2018/1372CSh02_black_2.jpg,1372CSH02_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522460/Summer2018/2174SLT01_1372CSH02_blue_3.jpg,1372CSH02_black_3,,https://res.cloudinary.com/maaji/image/upload/v1517522460/Summer2018/2174SLT01_1372CSH02_blue_4.jpg,1372CSH02_black_4,,,,,black,1372CSH02-black-xs|1372CSH02-black-sm|1372CSH02-black-md|1372CSH02-black-lg|1372CSH02-black-xl
1422CSD04-purple,Colour,1422CSD04-purple,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522811/Summer2018/1422CSD04_purple_3.jpg,1422CSD04_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522810/Summer2018/1422CSD04_purple_4.jpg,1422CSD04_purple_4,,,,,,,,,,,purple,1422CSD04-purple-xs|1422CSD04-purple-sm|1422CSD04-purple-md|1422CSD04-purple-lg|1422CSD04-purple-xl
1438CSD05-red,Colour,1438CSD05-red,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517592366/Summer2018/1438CSD05_red_3.jpg,1438CSd05_red_3,,https://res.cloudinary.com/maaji/image/upload/v1517592366/Summer2018/1438CSD05_red_4.jpg,1438CSD04_red_4,,,,,,,,,,,red,1438CSD05-red-xs|1438CSD05-red-sm|1438CSD05-red-md|1438CSD05-red-lg|1438CSD05-red-xl
1442CSH05-purple,Colour,1442CSH05-purple,active,Maaji,https://res.cloudinary.com/maaji/image/upload/v1517522917/Summer2018/1442CSH05_purple_1.jpg,1442CSH05_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1517522920/Summer2018/1442CSH05_purple_2.jpg,1442CSH05_purple_2,,https://res.cloudinary.com/maaji/image/upload/v1517522823/Summer2018/2183SCT01_1442CSH05_purple_3.jpg,1442CSH05_purple_3,,https://res.cloudinary.com/maaji/image/upload/v1517522824/Summer2018/2183SCT01_1442CSH05_purple_4.jpg,1442CSH05_purple_4,,,,,purple,1442CSH05-purple-xs|1442CSH05-purple-sm|1442CSH05-purple-md|1442CSH05-purple-lg|1442CSH05-purple-xl
