lv1_code,length,width,height,weight,packed_length,packed_width,packed_height,packed_weight
3102KKB01_red_2k,,50,60,0.2,,55,65,0.21
3102KKB01_red_4k,,50,60,0.2,,55,65,0.21
3102KKB01_red_6k,,50,60,0.2,,55,65,0.21
3102KKB01_red_8k,,50,60,0.2,,55,65,0.21
3102KKB01_red_10k,,50,60,0.2,,55,65,0.21
3102KKB01_red_12k,,50,60,0.2,,55,65,0.21
3102KKB01_red_14k,,50,60,0.2,,55,65,0.21
3102KKB01_red_16k,,50,60,0.2,,55,65,0.21
3095KKS01_red_2k,,50,60,0.2,,55,65,0.21
3095KKS01_red_4k,,50,60,0.2,,55,65,0.21
3095KKS01_red_6k,,50,60,0.2,,55,65,0.21
3095KKS01_red_8k,,50,60,0.2,,55,65,0.21
3095KKS01_red_10k,,50,60,0.2,,55,65,0.21
3095KKS01_red_12k,,50,60,0.2,,55,65,0.21
3095KKS01_red_14k,,50,60,0.2,,55,65,0.21
3095KKS01_red_16k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_2k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_4k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_6k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_8k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_10k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_12k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_14k,,50,60,0.2,,55,65,0.21
1689KKC02_pink_16k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_2k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_4k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_6k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_8k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_10k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_12k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_14k,,50,60,0.2,,55,65,0.21
1692KKC02_pink_16k,,50,60,0.2,,55,65,0.21
3101KKB01_black_2k,,50,60,0.2,,55,65,0.21
3101KKB01_black_4k,,50,60,0.2,,55,65,0.21
3101KKB01_black_6k,,50,60,0.2,,55,65,0.21
3101KKB01_black_8k,,50,60,0.2,,55,65,0.21
3101KKB01_black_10k,,50,60,0.2,,55,65,0.21
3101KKB01_black_12k,,50,60,0.2,,55,65,0.21
3101KKB01_black_14k,,50,60,0.2,,55,65,0.21
3101KKB01_black_16k,,50,60,0.2,,55,65,0.21
3096KKB01_black_2k,,50,60,0.2,,55,65,0.21
3096KKB01_black_4k,,50,60,0.2,,55,65,0.21
3096KKB01_black_6k,,50,60,0.2,,55,65,0.21
3096KKB01_black_8k,,50,60,0.2,,55,65,0.21
3096KKB01_black_10k,,50,60,0.2,,55,65,0.21
3096KKB01_black_12k,,50,60,0.2,,55,65,0.21
3096KKB01_black_14k,,50,60,0.2,,55,65,0.21
3096KKB01_black_16k,,50,60,0.2,,55,65,0.21
3088KKB02_black_2k,,50,60,0.2,,55,65,0.21
3088KKB02_black_4k,,50,60,0.2,,55,65,0.21
3088KKB02_black_6k,,50,60,0.2,,55,65,0.21
3088KKB02_black_8k,,50,60,0.2,,55,65,0.21
3088KKB02_black_10k,,50,60,0.2,,55,65,0.21
3088KKB02_black_12k,,50,60,0.2,,55,65,0.21
3088KKB02_black_14k,,50,60,0.2,,55,65,0.21
3088KKB02_black_16k,,50,60,0.2,,55,65,0.21
3097KKR01_black_2k,,50,60,0.2,,55,65,0.21
3097KKR01_black_4k,,50,60,0.2,,55,65,0.21
3097KKR01_black_6k,,50,60,0.2,,55,65,0.21
3097KKR01_black_8k,,50,60,0.2,,55,65,0.21
3097KKR01_black_10k,,50,60,0.2,,55,65,0.21
3097KKR01_black_12k,,50,60,0.2,,55,65,0.21
3097KKR01_black_14k,,50,60,0.2,,55,65,0.21
3097KKR01_black_16k,,50,60,0.2,,55,65,0.21
3091KKO02_black_2k,,50,60,0.2,,55,65,0.21
3091KKO02_black_4k,,50,60,0.2,,55,65,0.21
3091KKO02_black_6k,,50,60,0.2,,55,65,0.21
3091KKO02_black_8k,,50,60,0.2,,55,65,0.21
3091KKO02_black_10k,,50,60,0.2,,55,65,0.21
3091KKO02_black_12k,,50,60,0.2,,55,65,0.21
3091KKO02_black_14k,,50,60,0.2,,55,65,0.21
3091KKO02_black_16k,,50,60,0.2,,55,65,0.21
1688KKC03_blue_2k,,50,60,0.2,,55,65,0.21
1688KKC03_blue_4k,,50,60,0.2,,55,65,0.21
