lv1_code,product_class_name,name,status,brand,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2122SOB02_black_sm,Size,2122SOB02_black_sm,active,Maaji,7.7E+17,SMALL,275000,COP Price
2122SOB02_black_md,Size,2122SOB02_black_md,active,Maaji,7.7E+17,MEDIUM,275000,COP Price
2122SOB02_black_lg,Size,2122SOB02_black_lg,active,Maaji,7.7E+17,LARGE,275000,COP Price
2122SOB02_black_xl,Size,2122SOB02_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,275000,COP Price
2122SOC02_black_xs,Size,2122SOC02_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,275000,COP Price
2122SOC02_black_sm,Size,2122SOC02_black_sm,active,Maaji,7.7E+17,SMALL,275000,COP Price
2122SOC02_black_md,Size,2122SOC02_black_md,active,Maaji,7.7E+17,MEDIUM,275000,COP Price
2122SOC02_black_lg,Size,2122SOC02_black_lg,active,Maaji,7.7E+17,LARGE,275000,COP Price
2122SOC02_black_xl,Size,2122SOC02_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,275000,COP Price
2050SBC01_black_xs,Size,2050SBC01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2050SBC01_black_sm,Size,2050SBC01_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2050SBC01_black_md,Size,2050SBC01_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2050SBC01_black_lg,Size,2050SBC01_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2050SBC01_black_xl,Size,2050SBC01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
2050SDC01_black_xs,Size,2050SDC01_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
2050SDC01_black_sm,Size,2050SDC01_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
2050SDC01_black_md,Size,2050SDC01_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
2050SDC01_black_lg,Size,2050SDC01_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
2050SDC01_black_xl,Size,2050SDC01_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
1943SAC03_black_xs,Size,1943SAC03_black_xs,active,Maaji,7.7E+17,EXTRA SMALL,126000,COP Price
1943SAC03_black_sm,Size,1943SAC03_black_sm,active,Maaji,7.7E+17,SMALL,126000,COP Price
1943SAC03_black_md,Size,1943SAC03_black_md,active,Maaji,7.7E+17,MEDIUM,126000,COP Price
1943SAC03_black_lg,Size,1943SAC03_black_lg,active,Maaji,7.7E+17,LARGE,126000,COP Price
1943SAC03_black_xl,Size,1943SAC03_black_xl,active,Maaji,7.7E+17,EXTRA LARGE,126000,COP Price
