lv1_code,product_class_name,name,status,brand,attribute.co_online.boolean,attribute.us_online.boolean,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,image.6.url,image.6.description,image.6.is_primary,attribute.saya_color.single_option,variation_children_code
3042SFH03_purple,Colour,3042SFH03_purple,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522972/Summer2018/3042SFH03_purple_1.jpg,3042SFH03_purple_1,,https://res.cloudinary.com/maaji/image/upload/v1517522970/Summer2018/3042SFH03_purple_2.jpg,3042SFH03_purple_2,,https://res.cloudinary.com/maaji/image/upload/v1517522971/Summer2018/3042SFH03_purple_5.jpg,3042SFH03_purple_5,,https://res.cloudinary.com/maaji/image/upload/v1517522971/Summer2018/3042SFH03_purple_6.jpg,3042SFH03_purple_6,,,,,,,,morado,3042SFH03_purple_sm|3042SFH03_purple_md|3042SFH03_purple_lg|3042SFH03_purple_xl
3045SFT04_pink,Colour,3045SFT04_pink,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1518282673/Summer2018/3045SFT04_pink_1.jpg,3045SFT04_pink_1,,https://res.cloudinary.com/maaji/image/upload/v1518282671/Summer2018/3045SFT04_pink_2.jpg,3045SFT04_pink_2,,https://res.cloudinary.com/maaji/image/upload/v1518282673/Summer2018/3045SFT04_pink_5.jpg,3045SFT04_pink_5,,https://res.cloudinary.com/maaji/image/upload/v1518282669/Summer2018/3045SFT04_pink_6.jpg,3045SFT04_pink_6,,,,,,,,rosado,3045SFT04_pink_sm|3045SFT04_pink_md|3045SFT04_pink_lg|3045SFT04_pink_xl
3048SUN04_blue,Colour,3048SUN04_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1518283627/Summer2018/3048SUN04_blue_1.jpg,3048SUN04_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518283631/Summer2018/3048SUN04_blue_2.jpg,3048SUN04_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518283632/Summer2018/3048SUN04_blue_5.jpg,3048SUN04_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518283635/Summer2018/3048SUN04_blue_6.jpg,3048SUN04_blue_6,,,,,,,,azul,3048SUN04_blue_sm|3048SUN04_blue_md|3048SUN04_blue_lg|3048SUN04_blue_xl
3053SFA05_blue,Colour,3053SFA05_blue,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1518287988/Summer2018/3053SFA05_blue_1.jpg,3053SFA05_blue_1,,https://res.cloudinary.com/maaji/image/upload/v1518288003/Summer2018/3053SFA05_blue_2.jpg,3053SFA05_blue_2,,https://res.cloudinary.com/maaji/image/upload/v1518288002/Summer2018/3053SFA05_blue_5.jpg,3053SFA05_blue_5,,https://res.cloudinary.com/maaji/image/upload/v1518287995/Summer2018/3053SFA05_blue_6.jpg,3053SFA05_blue_6,,,,,,,,azul,3053SFA05_blue_sm|3053SFA05_blue_md|3053SFA05_blue_lg|3053SFA05_blue_xl
3054SFA03_black,Colour,3054SFA03_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522536/Summer2018/3054SFA03_black_1.jpg,3054SFA03_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522536/Summer2018/3054SFA03_black_2.jpg,3054SFA03_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522538/Summer2018/3054SFA03_black_5.jpg,3054SFA03_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517522538/Summer2018/3054SFA03_black_6.jpg,3054SFA03_black_6,,https://res.cloudinary.com/maaji/image/upload/v1517522538/Summer2018/3054SFA03_black_7.jpg,3054SFA03_black_7,,https://res.cloudinary.com/maaji/image/upload/v1517522539/Summer2018/3054SFA03_black_8.jpg,3054SFA03_black_8,,negro,3054SFA03_blue_sm|3054SFA03_blue_md|3054SFA03_blue_lg|3054SFA03_blue_xl
3063SBR01_black,Colour,3063SBR01_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522538/Summer2018/3063SBR01_black_1.jpg,3063SBR01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522540/Summer2018/3063SBR01_black_2.jpg,3063SBR01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522543/Summer2018/3063SBR01_black_5.jpg,3063SBR01_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517522544/Summer2018/3063SBR01_black_6.jpg,3063SBR01_black_6,,,,,,,,negro,3063SBR01_white_sm|3063SBR01_white_md|3063SBR01_white_lg|3063SBR01_white_xl
3063SBR02_orange,Colour,3063SBR02_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522970/Summer2018/3063SBR02_orange_1.jpg,3063SBR02_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522974/Summer2018/3063SBR02_orange_2.jpg,3063SBR02_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1518292141/Summer2018/3063SBR02_orange_5.jpg,3063SBR02_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1518292139/Summer2018/3063SBR02_orange_6.jpg,3063SBR02_orange_6,,,,,,,,anaranjado,3063SBR02_orange_sm|3063SBR02_orange_md|3063SBR02_orange_lg
3066SUN01_black,Colour,3066SUN01_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522542/Summer2018/3066SUN01_black_1.jpg,3066SUN01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522542/Summer2018/3066SUN01_black_2.jpg,3066SUN01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522543/Summer2018/3066SUN01_black_5.jpg,3066SUN01_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517522544/Summer2018/3066SUN01_black_6.jpg,3066SUN01_black_6,,,,,,,,negro,3066SUN01_black_sm|3066SUN01_black_md|3066SUN01_black_lg|3066SUN01_black_xl
3068SSP01_black,Colour,3068SSP01_black,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522546/Summer2018/3068SSP01_black_1.jpg,3068SSP01_black_1,,https://res.cloudinary.com/maaji/image/upload/v1517522546/Summer2018/3068SSP01_black_2.jpg,3068SSP01_black_2,,https://res.cloudinary.com/maaji/image/upload/v1517522551/Summer2018/3068SSP01_black_5.jpg,3068SSP01_black_5,,https://res.cloudinary.com/maaji/image/upload/v1517522552/Summer2018/3068SSP01_black_6.jpg,3068SSP01_black_6,,,,,,,,negro,3068SSP01_black_sm|3068SSP01_black_md|3068SSP01_black_lg|3068SSP01_black_xl
3068SSP02_orange,Colour,3068SSP02_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522978/Summer2018/3068SSP02_orange_1.jpg,3068SSP02_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522977/Summer2018/3068SSP02_orange_2.jpg,3068SSP02_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522977/Summer2018/3068SSP02_orange_5.jpg,3068SSP02_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522974/Summer2018/3068SSP02_orange_6.jpg,3068SSP02_orange_6,,,,,,,,anaranjado,3068SSP02_orange_sm|3068SSP02_orange_md|3068SSP02_orange_lg|3068SSP02_orange_xl
3069SSE01_orange,Colour,3069SSE01_orange,active,Maaji,1,1,https://res.cloudinary.com/maaji/image/upload/v1517522980/Summer2018/3069SSE01_orange_1.jpg,3069SSE01_orange_1,,https://res.cloudinary.com/maaji/image/upload/v1517522979/Summer2018/3069SSE01_orange_2.jpg,3069SSE01_orange_2,,https://res.cloudinary.com/maaji/image/upload/v1517522979/Summer2018/3069SSE01_orange_5.jpg,3069SSE01_orange_5,,https://res.cloudinary.com/maaji/image/upload/v1517522983/Summer2018/3069SSE01_orange_6.jpg,3069SSE01_orange_6,,,,,,,,anaranjado,3069SSE01_orange_sm|3069SSE01_orange_md|3069SSE01_orange_lg|3069SSE01_orange_xl
