lv1_code,,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
3008SCC02_brown_md,3008SCC02,Size,3008SCC02_brown_md,active,Maaji,MEDIUM,7702781035303,MEDIUM,95000,COP Price
3008SCC02_brown_lg,3008SCC02,Size,3008SCC02_brown_lg,active,Maaji,LARGE,7702781035310,LARGE,95000,COP Price
3008SCC02_brown_xl,3008SCC02,Size,3008SCC02_brown_xl,active,Maaji,EXTRA LARGE,7702781035327,EXTRA LARGE,95000,COP Price
3011SHN01_pink_sm,3011SHN01,Size,3011SHN01_pink_sm,active,Maaji,SMALL,7702781039271,SMALL,125000,COP Price
3011SHN01_pink_md,3011SHN01,Size,3011SHN01_pink_md,active,Maaji,MEDIUM,7702781039288,MEDIUM,125000,COP Price
3011SHN01_pink_lg,3011SHN01,Size,3011SHN01_pink_lg,active,Maaji,LARGE,7702781039295,LARGE,125000,COP Price
3011SHN01_pink_xl,3011SHN01,Size,3011SHN01_pink_xl,active,Maaji,EXTRA LARGE,7702781039301,EXTRA LARGE,125000,COP Price
3012SFH05_blue_sm,3012SFH05,Size,3012SFH05_blue_sm,active,Maaji,SMALL,7702781039929,SMALL,135000,COP Price
3012SFH05_blue_md,3012SFH05,Size,3012SFH05_blue_md,active,Maaji,MEDIUM,7702781039936,MEDIUM,135000,COP Price
3012SFH05_blue_lg,3012SFH05,Size,3012SFH05_blue_lg,active,Maaji,LARGE,7702781039943,LARGE,135000,COP Price
3042SFH02_red_sm,3042SFH02,Size,3042SFH02_red_sm,active,Maaji,SMALL,7702781031275,SMALL,135000,COP Price
3042SFH02_red_md,3042SFH02,Size,3042SFH02_red_md,active,Maaji,MEDIUM,7702781031282,MEDIUM,135000,COP Price
3042SFH02_red_lg,3042SFH02,Size,3042SFH02_red_lg,active,Maaji,LARGE,7702781031299,LARGE,135000,COP Price
3042SFH02_red_xl,3042SFH02,Size,3042SFH02_red_xl,active,Maaji,EXTRA LARGE,7702781031305,EXTRA LARGE,135000,COP Price
3042SFH03_purple_sm,3042SFH03,Size,3042SFH03_purple_sm,active,Maaji,SMALL,7702781031787,SMALL,135000,COP Price
3042SFH03_purple_md,3042SFH03,Size,3042SFH03_purple_md,active,Maaji,MEDIUM,7702781031794,MEDIUM,135000,COP Price
3042SFH03_purple_lg,3042SFH03,Size,3042SFH03_purple_lg,active,Maaji,LARGE,7702781031800,LARGE,135000,COP Price
3042SFH03_purple_xl,3042SFH03,Size,3042SFH03_purple_xl,active,Maaji,EXTRA LARGE,7702781031817,EXTRA LARGE,135000,COP Price
3045SFT04_pink_sm,3045SFT04,Size,3045SFT04_pink_sm,active,Maaji,SMALL,7702781031930,SMALL,115000,COP Price
3045SFT04_pink_md,3045SFT04,Size,3045SFT04_pink_md,active,Maaji,MEDIUM,7702781031947,MEDIUM,115000,COP Price
3045SFT04_pink_lg,3045SFT04,Size,3045SFT04_pink_lg,active,Maaji,LARGE,7702781031954,LARGE,115000,COP Price
